Site,,,Address,Dolium no.,Ext. rim diam.,Int. rim diam.,wall thickness,Volume (amph),Volume (l),how vol indicated,Height,pres. height,depth,pres depth,ext belly diameter ,int belly diameter,base diameter,size (sm/med/lrg),type (spherical/cylindrical),Repairs/Modifications,Fill - I,Mat.,Stage,Fill - E,Mat. 2,Stage 2,DD - I,Mat. 3,Stage 3,DD - E,Mat. 4,Stage 4,DDT - I,Mat. 5,Stage 5,DDT - E,Mat. 6,Stage 6,Staple,Mat. 7,Stage 7,Clamp,Mat. 8,Stage 8,Hybrid,Mat. 9,Stage 9,Types of Repairs,Lead,Lead Alloy,Both,Iron in Lead,Production Phase,Use Life,Both of last two,Unknown,Modifications,Stamp,Incision,context,contents?,Notes,Other,
NOTE: addresses need to be more specific (i.e. Pompeii IX.I.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pompei ,,,VRB,1,,43.5,,,695,estimated,,,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,2,,43,,,522,estimated,,,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,3,,43,,,522.41,inscised,110,,,,110,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,4,,43.5,,,695,estimated,,,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,5,,,,,522,estimated,,,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,6,,,,,?,,,,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,7,,42,,,522,estimated,,,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,8,,,,,?,,,,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,9,,45.5,,,480.82,incised,113,,,,107,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,10,,43.5,,,695.33,incised,122,,,,121,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,11,,45,,,566.33,incised,122,113,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,12,,41.5,,,522.41,incised,111,110,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
Pompei ,,,VRB,13,,,,,?,,,,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Y,,Production,L - wine,M. Pacci Sec(undi),,
Pompei ,,,VRB,14,,43,,,581.8,incised,118,114,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,,
